Food_items,Breakfast,Lunch,Dinner,Veg/NonVeg,Calories,Fats,Proteins,Iron,Calcium,Sodium,Potassium,Carbohydrates,Fibre,VitaminD,Sugars,BMI_Range
Avocado Mojito,1,0,0,1,100,2.0,2.5,0.3,20,12,25,22.0,0.0,0.0,12.0,Healthy
Avocado Mousse,0,0,1,1,180,2.5,1.5,0.4,30,18,28,15.0,0.0,0.0,18.0,Healthy
Avocado Orange Salad,1,0,0,1,100,2.0,3.0,0.4,20,12,25,18.0,0.0,0.0,12.0,Healthy
Avocado Paratha,1,0,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Avocado Pasta,1,0,0,1,200,4.0,5.0,0.6,30,20,35,22.0,0.5,0.0,20.0,Healthy
Avocado Pineapple Salad,1,0,0,1,100,2.0,3.0,0.4,20,12,25,18.0,0.0,0.0,12.0,Healthy
Avocado Salad,1,0,0,1,70,1.0,1.5,0.3,15,10,18,20.0,0.5,0.0,10.0,Healthy
Avocado Sandwich,1,0,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Avocado Soup,1,0,0,1,80,1.5,2.0,0.4,15,10,18,20.0,0.5,0.0,10.0,Healthy
Avocado Stuffed Pita,1,0,0,1,200,4.0,5.0,0.6,30,20,35,22.0,0.5,0.0,20.0,Healthy
Avocado Sweet,0,0,1,1,200,3.5,2.5,0.5,35,20,30,25.0,0.0,0.0,20.0,Healthy
Avocado Tomato Pasta,1,0,0,1,200,4.0,5.0,0.6,30,20,35,22.0,0.5,0.0,20.0,Healthy
Avocado Vada,0,1,0,1,50,1.0,1.0,0.1,6,5,8,6.0,0.2,0.0,5.0,Healthy
Avocado with Cheese Salad,0,1,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Avocado with Cottage Cheese Salad,0,1,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Avocado with Cucumber Salad,1,0,0,1,100,2.0,3.0,0.4,20,12,25,18.0,0.0,0.0,12.0,Healthy
Avocado with Feta Cheese Salad,0,1,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Avocado with Grapefruit Salad,1,0,0,1,100,2.0,3.0,0.4,20,12,25,18.0,0.0,0.0,12.0,Healthy
Avocado with Green Beans Salad,1,0,0,1,100,2.0,3.0,0.4,20,12,25,18.0,0.0,0.0,12.0,Healthy
Avocado with Orange Salad,1,0,0,1,100,2.0,3.0,0.4,20,12,25,18.0,0.0,0.0,12.0,Healthy
Avocado with Pineapple Salad,1,0,0,1,100,2.0,3.0,0.4,20,12,25,18.0,0.0,0.0,12.0,Healthy
Avocado with Potato Salad,1,0,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Avocado with Sprouts Salad,1,0,0,1,100,2.0,3.0,0.4,20,12,25,18.0,0.0,0.0,12.0,Healthy
Avocado with Tofu Salad,0,1,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Avocado with Tomato Salad,1,0,0,1,100,2.0,3.0,0.4,20,12,25,18.0,0.0,0.0,12.0,Healthy
Avocado with Vegetable Salad,1,0,0,1,100,2.0,3.0,0.4,20,12,25,18.0,0.0,0.0,12.0,Healthy
Avocado with Watermelon Salad,1,0,0,1,100,2.0,3.0,0.4,20,12,25,18.0,0.0,0.0,12.0,Healthy
Ayam Panggang,0,0,1,0,300,7.0,20.0,2.5,40,25,35,25.0,0.0,0.0,20.0,Healthy
Ayam Percik,0,0,1,0,320,8.0,22.0,2.0,50,30,40,30.0,0.0,0.0,25.0,Healthy
Babaganoush,1,0,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Baby Corn and Chickpea Salad,1,0,0,1,100,2.0,3.0,0.4,20,12,25,18.0,0.0,0.0,12.0,Healthy
Baby Corn and Paneer Subzi,1,0,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Baby Corn and Spinach Stir Fry,1,0,0,1,120,2.5,3.0,0.4,25,15,30,20.0,0.5,0.0,15.0,Healthy
Baby Corn and Tomato Salad,1,0,0,1,100,2.0,3.0,0.4,20,12,25,18.0,0.0,0.0,12.0,Healthy
Baby Corn and Tomato Soup,1,0,0,1,80,1.5,2.0,0.4,15,10,18,20.0,0.5,0.0,10.0,Healthy
Baby Corn and Vegetable Salad,1,0,0,1,100,2.0,3.0,0.4,20,12,25,18.0,0.0,0.0,12.0,Healthy
Baby Corn and Water Chestnut Salad,1,0,0,1,100,2.0,3.0,0.4,20,12,25,18.0,0.0,0.0,12.0,Healthy
Baby Corn and Water Chestnut Stir Fry,1,0,0,1,120,2.5,3.0,0.4,25,15,30,20.0,0.5,0.0,15.0,Healthy
Baby Corn and Zucchini Salad,1,0,0,1,100,2.0,3.0,0.4,20,12,25,18.0,0.0,0.0,12.0,Healthy
Baby Corn Biryani,1,0,0,1,200,4.0,5.0,0.6,30,20,35,22.0,0.5,0.0,20.0,Healthy
Baby Corn Capsicum Fry,1,0,0,1,120,2.5,3.0,0.4,25,15,30,20.0,0.5,0.0,15.0,Healthy
Baby Corn Chilly,1,0,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Baby Corn Chops,0,1,0,1,50,1.0,1.0,0.1,6,5,8,6.0,0.2,0.0,5.0,Healthy
Baby Corn Delight,1,0,0,1,100,2.0,3.0,0.4,20,12,25,18.0,0.0,0.0,12.0,Healthy
Baby Corn Fry,1,0,0,1,120,2.5,3.0,0.4,25,15,30,20.0,0.5,0.0,15.0,Healthy
Baby Corn Hara Masala,1,0,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Baby Corn Jalfrezi,1,0,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Babaganoush,1,0,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Baby Corn and Chickpea Salad,1,0,0,1,100,2.0,3.0,0.4,20,12,25,18.0,0.0,0.0,12.0,Healthy
Baby Corn and Paneer Subzi,1,0,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Baby Corn and Spinach Stir Fry,1,0,0,1,120,2.5,3.0,0.4,25,15,30,20.0,0.5,0.0,15.0,Healthy
Baby Corn and Tomato Salad,1,0,0,1,100,2.0,3.0,0.4,20,12,25,18.0,0.0,0.0,12.0,Healthy
Baby Corn and Tomato Soup,1,0,0,1,80,1.5,2.0,0.4,15,10,18,20.0,0.5,0.0,10.0,Healthy
Baby Corn and Vegetable Salad,1,0,0,1,100,2.0,3.0,0.4,20,12,25,18.0,0.0,0.0,12.0,Healthy
Baby Corn and Water Chestnut Salad,1,0,0,1,100,2.0,3.0,0.4,20,12,25,18.0,0.0,0.0,12.0,Healthy
Baby Corn and Water Chestnut Stir Fry,1,0,0,1,120,2.5,3.0,0.4,25,15,30,20.0,0.5,0.0,15.0,Healthy
Baby Corn and Zucchini Salad,1,0,0,1,100,2.0,3.0,0.4,20,12,25,18.0,0.0,0.0,12.0,Healthy
Baby Corn Biryani,1,0,0,1,200,4.0,5.0,0.6,30,20,35,22.0,0.5,0.0,20.0,Healthy
Baby Corn Capsicum Fry,1,0,0,1,120,2.5,3.0,0.4,25,15,30,20.0,0.5,0.0,15.0,Healthy
Baby Corn Chilly,1,0,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Baby Corn Chops,0,1,0,1,50,1.0,1.0,0.1,6,5,8,6.0,0.2,0.0,5.0,Healthy
Baby Corn Delight,1,0,0,1,100,2.0,3.0,0.4,20,12,25,18.0,0.0,0.0,12.0,Healthy
Baby Corn Fry,1,0,0,1,120,2.5,3.0,0.4,25,15,30,20.0,0.5,0.0,15.0,Healthy
Baby Corn Hara Masala,1,0,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Baby Corn Jalfrezi,1,0,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Baby Corn Khichdi,1,0,0,1,200,4.0,5.0,0.6,30,20,35,22.0,0.5,0.0,20.0,Healthy
Baby Corn Manchurian,1,0,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Baby Corn Manchurian Gravy,1,0,0,1,200,4.0,5.0,0.6,30,20,35,22.0,0.5,0.0,20.0,Healthy
Baby Corn Manchurian Recipe,1,0,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Baby Corn Masala,1,0,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Baby Corn Methi Subzi,1,0,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Baby Corn Noodles,1,0,0,1,200,4.0,5.0,0.6,30,20,35,22.0,0.5,0.0,20.0,Healthy
Baby Corn Paneer Pulao,1,0,0,1,200,4.0,5.0,0.6,30,20,35,22.0,0.5,0.0,20.0,Healthy
Baby Corn Pepper Fry,1,0,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Baby Corn Pulao,1,0,0,1,200,4.0,5.0,0.6,30,20,35,22.0,0.5,0.0,20.0,Healthy
Baby Corn Sabzi,1,0,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Baby Corn Salad,1,0,0,1,70,1.0,1.5,0.3,15,10,18,20.0,0.5,0.0,10.0,Healthy
Baby Corn Soup,1,0,0,1,70,1.0,1.5,0.3,15,10,18,20.0,0.5,0.0,10.0,Healthy
Baby Corn Spinach Sabzi,1,0,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Baby Corn Stir Fry,1,0,0,1,120,2.5,3.0,0.4,25,15,30,20.0,0.5,0.0,15.0,Healthy
Baby Corn Subzi,1,0,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Baby Corn Sweet Corn Stir Fry,1,0,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Baby Corn Tomato Curry,1,0,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Baby Corn Vegetable Gravy,1,0,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Baby Corn Vegetable Soup,1,0,0,1,70,1.0,1.5,0.3,15,10,18,20.0,0.5,0.0,10.0,Healthy
Baby Corn with Almonds,1,0,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Baby Corn with Baby Onions,1,0,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Baby Corn with Cashewnuts,1,0,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Baby Corn with Coconut Milk,1,0,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Baby Corn with Corn Flour,1,0,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Baby Corn with Green Grapes,1,0,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Baby Corn with Green Peas,1,0,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Baby Corn with Mushrooms,1,0,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Baby Corn with Mustard Seeds,1,0,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Baby Corn with Onion Rings,1,0,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Baby Corn with Pineapple,1,0,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Baby Corn with Potato,1,0,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Baby Corn with Spinach,1,0,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Baby Corn with Sweet Corn,1,0,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Baby Corn with Tomatoes,1,0,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Baby Corn with Tomato Puree,1,0,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Baby Corn with White Gravy,1,0,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Baby Corn with White Sauce,1,0,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Baby Corn with White Sauce Pasta,1,0,0,1,200,4.0,5.0,0.6,30,20,35,22.0,0.5,0.0,20.0,Healthy
Baby Corn with Yogurt,1,0,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Baby Corn,1,0,0,1,50,1.0,1.5,0.2,8,5,10,8.0,0.2,0.0,5.0,Healthy
Baby Potatoes with Spinach,1,0,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Baby Spinach Soup,1,0,0,1,70,1.0,1.5,0.3,15,10,18,20.0,0.5,0.0,10.0,Healthy
Bacardi Pina Colada,0,0,1,1,200,3.5,2.0,0.5,35,20,30,25.0,0.0,0.0,20.0,Healthy
Badam Barfi,0,0,1,1,200,3.5,3.5,0.4,30,20,35,22.0,0.0,0.0,20.0,Healthy
Badam Halwa,0,0,1,1,150,3.0,3.5,0.4,25,15,30,20.0,0.0,0.0,15.0,Healthy
Badam Ka Halwa,0,0,1,1,150,3.0,3.5,0.4,25,15,30,20.0,0.0,0.0,15.0,Healthy
Badam Kheer,0,0,1,1,150,3.0,3.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Badam Milk,0,0,1,1,100,1.5,2.0,0.4,20,12,25,18.0,0.0,0.0,12.0,Healthy
Badam Palak,1,0,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Badam Puri,0,1,0,1,50,1.0,1.5,0.1,6,5,8,6.0,0.2,0.0,5.0,Healthy
Badam Sheera,0,0,1,1,150,3.0,3.5,0.4,25,15,30,20.0,0.0,0.0,15.0,Healthy
Badam Shorba,1,0,0,1,80,1.0,1.5,0.3,15,10,18,20.0,0.5,0.0,10.0,Healthy
Badam ka Sharbat,0,0,1,1,200,3.5,3.0,0.5,35,20,30,25.0,0.0,0.0,20.0,Healthy
Badam with Milk,0,0,1,1,100,1.5,2.0,0.4,20,12,25,18.0,0.0,0.0,12.0,Healthy
Bael Sherbet,0,0,1,1,200,4.0,4.0,0.6,30,20,35,22.0,0.0,0.0,20.0,Healthy
Baingan Bharta,1,0,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Baingan Bharta Recipe,1,0,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Baingan Fry,1,0,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Baingan Ka Bharta,1,0,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Baingan Ka Bhartha,1,0,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Baingan ki Lonje,1,0,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Baingan ki Sabji,1,0,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Baingan,1,0,0,1,100,2.0,3.0,0.4,20,12,25,18.0,0.0,0.0,12.0,Healthy
Bainganwali Bhindi,1,0,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Bajra Bhakri,1,0,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Bajra Roti,1,0,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Baked Baby Potatoes,1,0,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Baked Beans Curry,1,0,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Baked Beans on Toast,1,0,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Baked Beans,1,0,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Baked Beetroot Puri,1,0,0,1,100,2.0,3.0,0.4,20,12,25,18.0,0.0,0.0,12.0,Healthy
Baked Besan Chaklis,0,1,0,1,50,1.0,1.5,0.2,6,5,8,6.0,0.2,0.0,5.0,Healthy
Baked Bread Rolls,1,0,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Baked Brinjal,1,0,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Baked Cheese Ball,0,1,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Baked Cheese Dip,0,1,0,1,200,4.0,3.0,0.5,35,20,30,25.0,0.0,0.0,20.0,Healthy
Baked Cheese Stuffed Mushrooms,1,0,0,1,100,2.0,3.0,0.4,20,12,25,18.0,0.0,0.0,12.0,Healthy
Baked Cheese Toast,1,0,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Baked Cheesy Corn Dip,0,1,0,1,200,3.5,3.0,0.5,35,20,30,25.0,0.0,0.0,20.0,Healthy
Baked Cheesy Cornflakes,0,1,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Baked Cheesy Garlic Potatoes,1,0,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Baked Cheesy Mexican Rice,1,0,0,1,200,4.0,5.0,0.6,30,20,35,22.0,0.5,0.0,20.0,Healthy
Baked Cheesy Mushrooms,1,0,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Baked Cheesy Paneer Rolls,1,0,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Baked Cheesy Pasta,1,0,0,1,200,4.0,5.0,0.6,30,20,35,22.0,0.5,0.0,20.0,Healthy
Baked Cheesy Potato Wedges,1,0,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Baked Cheesy Potatoes,1,0,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Baked Cheesy Rice,1,0,0,1,200,4.0,5.0,0.6,30,20,35,22.0,0.5,0.0,20.0,Healthy
Baked Cheesy Spinach,1,0,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Baked Cheesy Tomato,1,0,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Baked Cheesy Veggie Pasta,1,0,0,1,200,4.0,5.0,0.6,30,20,35,22.0,0.5,0.0,20.0,Healthy
Baked Chole,1,0,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Baked Corn and Capsicum,1,0,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Baked Corn and Cheese,1,0,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Baked Corn and Paneer,1,0,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Baked Corn and Spinach,1,0,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Baked Corn and Spinach,1,0,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Baked Corn and Vegetable,1,0,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Baked Corn Casserole,1,0,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Baked Corn Cheese,1,0,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Baked Corn Cheese Vada,0,1,0,1,50,1.0,1.0,0.1,6,5,8,6.0,0.2,0.0,5.0,Healthy
Baked Corn Rolls,1,0,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Baked Corn with Peas,1,0,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Baked Corn with Salsa,1,0,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Baked Corn,1,0,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Baked Dal Kabab,1,0,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Baked Drumstick,1,0,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Baked Egg Curry,1,0,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Baked Eggplant,1,0,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Baked Eggplant and Potato,1,0,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Baked Eggplant and Zucchini,1,0,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Baked Eggplant Curry,1,0,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Baked Eggplant in Tomato Sauce,1,0,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Baked Eggplant Parmesan,1,0,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Baked Eggplant with Cheese,1,0,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Baked Eggplant with Tomato,1,0,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Baked Eggplant with Yoghurt,1,0,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Baked Eggs,1,0,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Baked French Fries,1,0,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Baked Green Peas,1,0,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Baked Karanji,0,1,0,1,50,1.0,1.5,0.2,6,5,8,6.0,0.2,0.0,5.0,Healthy
Baked Kofta,1,0,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Baked Masala Baati,1,0,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Baked Masala Papad,0,1,0,1,50,1.0,1.0,0.1,6,5,8,6.0,0.2,0.0,5.0,Healthy
Baked Masala Peanuts,0,1,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Baked Mathris,0,1,0,1,50,1.0,1.5,0.2,6,5,8,6.0,0.2,0.0,5.0,Healthy
Baked Methi Mathri,0,1,0,1,50,1.0,1.5,0.2,6,5,8,6.0,0.2,0.0,5.0,Healthy
Baked Methi Puris,0,1,0,1,50,1.0,1.5,0.2,6,5,8,6.0,0.2,0.0,5.0,Healthy
Baked Methi Seeds Mathri,0,1,0,1,50,1.0,1.5,0.2,6,5,8,6.0,0.2,0.0,5.0,Healthy
Baked Methi Sev,0,1,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Baked Moong Dal Mathri,0,1,0,1,50,1.0,1.5,0.2,6,5,8,6.0,0.2,0.0,5.0,Healthy
Baked Moong Dal Sev,0,1,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Baked Moong Dal Snack,0,1,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Baked Moong Mathri,0,1,0,1,50,1.0,1.5,0.2,6,5,8,6.0,0.2,0.0,5.0,Healthy
Baked Namak Para,0,1,0,1,50,1.0,1.5,0.2,6,5,8,6.0,0.2,0.0,5.0,Healthy
Baked Namkeen,0,1,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Baked Nimki,0,1,0,1,50,1.0,1.5,0.2,6,5,8,6.0,0.2,0.0,5.0,Healthy
Baked Onion Bhajiya,0,1,0,1,50,1.0,1.5,0.2,6,5,8,6.0,0.2,0.0,5.0,Healthy
Baked Onion Pakora,0,1,0,1,50,1.0,1.5,0.2,6,5,8,6.0,0.2,0.0,5.0,Healthy
Baked Onion Ring,1,0,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Baked Onion Rings,1,0,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Baked Pakora,1,0,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Baked Paneer Bread Pakoras,0,1,0,1,50,1.0,1.5,0.2,6,5,8,6.0,0.2,0.0,5.0,Healthy
Baked Paneer Bread Rolls,1,0,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Baked Paneer Cubes,1,0,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Baked Paneer Cutlet,1,0,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Baked Paneer Fingers,1,0,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Baked Paneer Masala,1,0,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Baked Paneer Pakora,0,1,0,1,50,1.0,1.5,0.2,6,5,8,6.0,0.2,0.0,5.0,Healthy
Baked Paneer Rolls,1,0,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Baked Paneer Sandwiches,1,0,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Baked Paneer Tikka,1,0,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Baked Pani Puri,1,0,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Baked Papdi,0,1,0,1,50,1.0,1.5,0.2,6,5,8,6.0,0.2,0.0,5.0,Healthy
Baked Pattice,1,0,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Baked Patra,1,0,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Baked Pav Bhaji,1,0,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Baked Peas Pakora,0,1,0,1,50,1.0,1.5,0.2,6,5,8,6.0,0.2,0.0,5.0,Healthy
Baked Peas Samosa,1,0,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Baked Pizza Sandwich,1,0,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Baked Potato Tikki,1,0,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
